sample_id,split,gender,discipline,clinical_experience,country,question_type,prompt,question,question_clean,answer_options,correct_answer,answer_rationale,specialty,region_specific,mentions_Africa,mentions_age,mentions_gender,tier,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,version
b844d43bfd0513f31128936956ee75a5b9d2e26e2b7cc8a01c7d1ecc183a36ef,train,Female,Nursing,Student,NG,mcq,,Which of the following is a common cause of blindness in African populations?,Which of the following is a common cause of blindness in African populations?,"{""option1"": ""Trachoma"", ""option2"": ""Onchocerciasis"", ""option3"": ""Vitamin A deficiency"", ""option4"": ""Glaucoma"", ""option5"": ""Cataracts""}",option1,"Trachoma, a bacterial infection caused by Chlamydia trachomatis, is a leading cause of preventable blindness in Africa, particularly in rural communities with poor sanitation.",Ophthalmology,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
2d89ae63798d4d4aae5cd45c68708c8aa4fd16c98abdb43f83044e554f8c2c03,train,Female,Nursing,Student,NG,mcq,,Which of the following is the leading cause of blindness in African adults?,Which of the following is the leading cause of blindness in African adults?,"{""option1"": ""Glaucoma"", ""option2"": ""Cataracts"", ""option3"": ""Diabetic retinopathy"", ""option4"": ""Trachoma"", ""option5"": ""Age-related macular degeneration (AMD)""}",option2,"Cataracts are the leading cause of blindness in African adults, often due to limited access to cataract surgery.",Ophthalmology,,1.0,0.0,0.0,crowdsourced,0.0,,0.0,,,,,,,v3
6aa729b4318ab1daf8ab1c785598de155271f219ed216b32e6d7edec6ce0686f,train,Female,Health Research,Researcher,ZA,consumer_queries,"Your female flatmate complains of severe pain, redness in the eye, blurry vision and thinks she has Corneal ulcer and is going to visit the nearest doctor. Question: ",What treatments are available for corneal ulcers?,What treatments are available for corneal ulcers?,,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.0,,,,,,,,,v3
cd2e3b66e54336191674a46d1d2b1e185c8c2578da71834a02c8e7971b27b463,train,Female,Pharmacy,Student,KE,consumer_queries,"Your male neighbor complains of pain, loss of color vision, blurred vision and thinks he has Optic neuritis and is going to visit the nearest doctor. Question: ","Does high screen time worsen my symptoms? If so, how can I manage that?","Does high screen time worsen my symptoms? If so, how can I manage that?",,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.0,,,,,,,,,v3
057be0ed185dbd0fcab6fcd4ef573068ac962c62956f939fd500640a77bbd200,train,Female,Pharmacy,Intern,ZA,consumer_queries,"Your male coworker complains of vision problems, especially in dim light and thinks he has Sickle cell retinopathy and is going to visit the nearest doctor. Question: ",Could my vision problems be related to any other underlying conditions besides sickle cell retinopathy?,Could my vision problems be related to any other underlying conditions besides sickle cell retinopathy?,,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.0,,,,,,,,,v3
741f3e51d591b840ff374f9bab6096789ab96bc603df3f49efdc872b6b164f48,train,Female,,,ZA,consumer_queries,"Your male classmate complains of redness, itching, discharge from one or both eyes and thinks he has Conjunctivitis (Pink Eye) and is going to visit the nearest doctor. Question: ",What are my treatment options for Conjunctivitis and can it be prevented?,What are my treatment options for Conjunctivitis and can it be prevented?,,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.0,True,,,,,,,,v3
76e08a45e47ca1a00ce1a90b8ad3c60f2807a3b645a49a6c114387411e4380ff,train,Female,Pharmacy,Licensed Professional,GH,consumer_queries,"Your male neighbor complains of pain, loss of color vision, blurred vision and thinks he has Optic neuritis and is going to visit the nearest doctor. Question: ","Please Doctor, what causes optic neuritis, can it be caused by bacterial infection, viral or trauma?","Please Doctor, what causes optic neuritis, can it be caused by bacterial infection, viral or trauma?",,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.25,,,,,,,,,v3
33a7520d260a025f60552c8c6270f25a3c89c7e2d50bd3967ad186227c626848,train,Female,,,ZA,consumer_queries,"Your female coworker complains of dryness, redness, irritation in the eyes and thinks she has Dry eye syndrome and is going to visit the nearest doctor. Question: ",Which treatment she needs to take?,Which treatment she needs to take?,,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.11,True,,,,,,,,v3
1973b76f5e73257a8ec2b745b81faa4a6c8067ba4e6e9b037a7a034cef8a033d,train,Female,Nursing,Student,KE,consumer_queries,"Your female classmate complains of sudden loss of vision, seeing floaters and thinks she has Vitreous hemorrhage and is going to visit the nearest doctor. Question: ",How urgent is a vitreous hemorrhage?,How urgent is a vitreous hemorrhage?,,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.01,True,,,,,,,,v3
3b5b4d83ff05f1b94ed008225a9f7edadabee759bd4ac3b0e34962c496ecf1d9,train,Female,Non-Health,Student,ZA,consumer_queries,Your male roommate complains of difficulty in reading or seeing at close range and thinks he has Presbyopia and is going to visit the nearest doctor. Question: ,Does the fact that I have diabetes contribute to my sight problems?,Does the fact that I have diabetes contribute to my sight problems?,,,,Ophthalmology,,0.0,0.0,0.0,crowdsourced,0.0,,,,,,,,,v3
